Rank,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Name,Platform,Year_of_Release,Genre,Publisher,Critic_Score,User_Score
1,41.36,28.96,3.77,8.45,82.53,Wii Sports,Wii,2006,Sports,Nintendo,76,8
2,29.08,3.58,6.81,0.77,40.24,Super Mario Bros.,NES,1985,Platform,Nintendo,,
3,15.68,12.76,3.79,3.29,35.52,Mario Kart Wii,Wii,2008,Racing,Nintendo,82,8.3
4,15.61,10.93,3.28,2.95,32.77,Wii Sports Resort,Wii,2009,Sports,Nintendo,80,8
5,11.27,8.89,10.22,1,31.37,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,,
6,23.2,2.26,4.22,0.58,30.26,Tetris,GB,1989,Puzzle,Nintendo,,
7,11.28,9.14,6.5,2.88,29.8,New Super Mario Bros.,DS,2006,Platform,Nintendo,89,8.5
8,13.96,9.18,2.93,2.84,28.92,Wii Play,Wii,2006,Misc,Nintendo,58,6.6
9,14.44,6.94,4.7,2.24,28.32,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,87,8.4
10,26.93,0.63,0.28,0.47,28.31,Duck Hunt,NES,1984,Shooter,Nintendo,,
11,9.05,10.95,1.93,2.74,24.67,Nintendogs,DS,2005,Simulation,Nintendo,,
12,9.71,7.47,4.13,1.9,23.21,Mario Kart DS,DS,2005,Racing,Nintendo,91,8.6
13,9,6.18,7.2,0.71,23.1,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,,
14,8.92,8.03,3.6,2.15,22.7,Wii Fit,Wii,2007,Sports,Nintendo,80,7.7
15,15,4.89,0.24,1.69,21.81,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,61,6.3
16,9.01,8.49,2.53,1.77,21.79,Wii Fit Plus,Wii,2009,Sports,Nintendo,80,7.4
17,7.02,9.09,0.98,3.96,21.04,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,97,8.2
18,9.43,0.4,0.41,10.57,20.81,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,95,9
19,12.78,3.75,3.54,0.55,20.61,Super Mario World,SNES,1990,Platform,Nintendo,,
20,4.74,9.2,4.16,2.04,20.15,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,77,7.9
21,6.38,4.46,6.04,1.36,18.25,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,,
22,10.83,2.71,4.18,0.42,18.14,Super Mario Land,GB,1989,Platform,Nintendo,,
23,9.54,3.44,3.84,0.46,17.28,Super Mario Bros. 3,NES,1988,Platform,Nintendo,,
24,9.66,5.14,0.06,1.41,16.27,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,97,8.1
25,8.41,5.49,0.47,1.78,16.15,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,95,8.7
26,6.06,3.9,5.38,0.5,15.85,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,,
27,3.43,5.35,5.32,1.18,15.29,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,77,7.1
28,5.51,3.17,5.65,0.8,15.14,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,,
29,6.85,5.09,1.87,1.16,14.98,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,95,8.4
30,9.04,4.24,0.13,1.32,14.73,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,88,3.4
31,5.89,5.04,3.12,0.59,14.64,Pokemon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,,
32,6.03,5.86,0.36,2.38,14.63,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,,
33,9.7,3.68,0.11,1.13,14.61,Call of Duty: Black Ops,X360,2010,Shooter,Activision,87,6.3
34,5.28,4.19,4.35,0.78,14.6,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,,
35,4.99,5.73,0.65,2.42,13.79,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,83,5.3
36,8.25,4.24,0.07,1.12,13.67,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,83,4.8
37,8.52,3.59,0.08,1.28,13.47,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,94,6.3
38,5.54,5.73,0.49,1.57,13.32,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,88,3.2
39,6.99,4.51,0.3,1.3,13.1,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,97,8.5
40,6.62,2.55,2.66,1.01,12.84,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,93,8.9
41,5.03,4.02,2.69,0.91,12.66,Mario Kart 7,3DS,2011,Racing,Nintendo,85,8.2
42,5.99,4.37,0.48,1.79,12.63,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,88,6.4
43,3.96,6.31,0.38,1.97,12.61,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,97,8.3
44,2.5,3.45,5.33,0.86,12.13,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,86,8.7
45,7.97,2.81,0.13,1.21,12.12,Halo 3,X360,2007,Shooter,Microsoft Game Studios,94,7.8
46,6.91,2.85,1.91,0.23,11.89,Super Mario 64,N64,1996,Platform,Nintendo,,
47,4.34,2.71,3.96,0.76,11.77,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,,
48,4.35,3.49,3.1,0.74,11.68,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,,
49,3.01,0.01,1.1,7.53,11.66,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,89,8.5
50,6.06,3.35,1.2,0.74,11.35,Super Mario Galaxy,Wii,2007,Platform,Nintendo,97,8.9
51,6.16,2.04,2.69,0.29,11.18,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,,
52,6.76,3.07,0.14,1.03,11.01,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,98,7.9
53,4.02,3.87,2.54,0.52,10.95,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,96,8.7
54,4.89,3,2.14,0.78,10.81,Super Mario 3D Land,3DS,2011,Platform,Nintendo,90,8.4
55,2.96,4.82,0.81,2.11,10.7,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,84,7.5
56,4.99,3.64,0.38,1.6,10.6,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,94,6.3
57,5.99,2.15,2.12,0.29,10.55,Super Mario All-Stars,SNES,1993,Platform,Nintendo,,
58,4.76,3.69,0.44,1.61,10.5,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,98,7.5
59,4.34,2.65,3.15,0.35,10.49,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,,
60,5.01,3.07,1.25,0.97,10.3,Super Mario 64,DS,2004,Platform,Nintendo,,
61,6.73,2.56,0.04,0.91,10.25,Call of Duty: Ghosts,X360,2013,Shooter,Activision,73,2.6
62,5.95,3.11,0,1.06,10.12,Just Dance 3,Wii,2011,Misc,Ubisoft,74,7.8
63,3.66,3.14,2.47,0.63,9.9,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,78,7.2
64,5.55,1.94,2.23,0.15,9.87,Mario Kart 64,N64,1996,Racing,Nintendo,,
65,7.04,1.95,0.08,0.79,9.86,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,91,7.9
66,3.01,2.47,3.28,0.96,9.72,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,92,9.2
67,6.65,2.28,0.04,0.74,9.71,Halo 4,X360,2012,Shooter,Microsoft Game Studios,87,7
68,3.88,3.42,1.69,0.5,9.49,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,93,9
69,5.8,2.85,0.01,0.78,9.44,Just Dance 2,Wii,2010,Misc,Ubisoft,74,7.3
70,4.1,3.63,0.38,1.25,9.36,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,71,2.6
71,5.93,2.36,0.13,0.9,9.31,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,94,8.4
72,4.36,1.71,3,0.23,9.3,Donkey Kong Country,SNES,1994,Platform,Nintendo,,
73,5.7,2.65,0.02,0.81,9.18,Minecraft,X360,2013,Misc,Microsoft Game Studios,,
74,2.03,2.36,4.39,0.39,9.16,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,88,8.7
75,4.4,1.85,1.98,0.68,8.91,Mario Party DS,DS,2007,Misc,Nintendo,72,7.8
76,5.05,2.79,0.1,0.85,8.79,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,96,8.4
77,3.54,1.24,3.81,0.18,8.76,Super Mario Kart,SNES,1992,Racing,Nintendo,,
78,1.12,6.12,0.06,1.28,8.57,FIFA 16,PS4,2015,Sports,Electronic Arts,82,4.3
79,6.82,1.53,0.05,0.08,8.49,Halo 2,XB,2004,Shooter,Microsoft Game Studios,95,8.2
80,1.75,3.47,2.49,0.67,8.38,Wii Party,Wii,2010,Misc,Nintendo,68,7.4
81,3.74,2.24,1.58,0.7,8.27,Mario Party 8,Wii,2007,Misc,Nintendo,62,6.3
82,1.06,5.01,0.13,1.97,8.16,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,88,6.6
83,5.8,2.01,0.13,0.15,8.09,GoldenEye 007,N64,1997,Shooter,Nintendo,,
84,2.79,1.72,3.14,0.41,8.07,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,,
85,2.91,2.07,2.73,0.33,8.05,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,92,8.7
86,0.99,6.42,0,0.6,8.01,The Sims 3,PC,2009,Simulation,Electronic Arts,86,7.6
87,2.57,3.86,0.66,0.91,7.99,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,,
88,2.99,3.49,0.22,1.28,7.98,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,,
89,2.28,1.72,3.63,0.23,7.86,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,90,8.6
90,7.28,0.45,0,0.08,7.81,Pac-Man,2600,1982,Puzzle,Atari,,
91,2.76,1.72,2.69,0.54,7.72,Pokemon Platinum Version,DS,2008,Role-Playing,Nintendo,83,8.5
92,2.9,2.81,0.24,1.73,7.69,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,88,7.6
93,2.81,3.48,0.14,1.23,7.66,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,83,5.7
94,4.1,1.89,1.45,0.16,7.6,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,,
95,0.66,5.75,0.08,1.11,7.59,FIFA 17,PS4,2016,Sports,Electronic Arts,85,5
96,3.78,2.17,1.31,0.31,7.58,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,,
97,3.27,1.37,2.43,0.48,7.55,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,,
98,3.56,2.35,0.98,0.62,7.51,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,97,9.1
99,5.39,1.18,0.7,0.19,7.46,Super Mario Bros. 2,NES,1988,Platform,Nintendo,,
100,4.59,2.11,0.01,0.68,7.39,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,,
101,4.81,1.88,0,0.69,7.38,Call of Duty: World at War,X360,2008,Shooter,Activision,84,7.6
102,4.46,2.11,0.06,0.69,7.32,Battlefield 3,X360,2011,Shooter,Electronic Arts,84,7.4
103,3.27,2.83,0.08,1.02,7.2,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,85,8.6
104,3.48,2.99,0,0.73,7.2,Just Dance,Wii,2009,Misc,Ubisoft,49,8
105,2.85,2.89,0.35,1.08,7.17,Battlefield 3,PS3,2011,Shooter,Electronic Arts,85,7.5
106,2.53,3.27,0.24,1.13,7.16,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,87,6.5
